Text,Null copula,Person/num. agreement,Multiple negators,Existential it/dey,Perfect done,Remote past BIN, Habitual be
W:     This is Marna Weston with the Sam Proctor Oral History Program at the      University of Florida in Greenwood; Mississippi at McLaurin Park on      September 22nd 2011.,,,,,,,
W:     I’m speaking with Missus Deloris Nason.,,,,,,,
W:     Missus Nason;      thank you very much for speaking to me.,,,,,,,
N:     Yes.,,,,,,,
N:     All right; how are you today?,,,,,,,
W:     I’m doing good.,,,,,,,
W:     Would you please say and spell your full name?,,,,,,,
N:     My name is Deloris Johnson Nason; D-e-l-o-r-i-s; N-a-s-o-n.,,,,,,,
W:     Okay.,,,,,,,
W:     And just confirm for us that we are outside of McLaurin Park in      Greenwood; Mississippi?,,,,,,,
N:     Yes; there on the outside of McLaurin Park in Greenwood; Mississippi.,,,,,,,
W:     When and where were you born?,,,,,,,
N:     I was in Greenwood; Mississippi; Leflore County.,,,,,,,
W:     What is the date of your birth?,,,,,,,
N:     My birthdate is 11-28-67.,,,,,,,
W:     Who are your mother and father?,,,,,,,
N:     My mother and father’s the late Mister and Missus Mister and Missus Tom Johnson; Ruth and      Tom Johnson.,,,,,,,
W:     Okay.,,,,,,,
W:     And were they originally from Greenwood?,,,,,,,
W:     Or where were they from?,,,,,,,
N:     They were originally from Tchula; Mississippi.,,,,,,,
W:     Ah and could you tell me a little bit about your mother’s parents?,,,,,,,
W:     Who were      they?,,,,,,,
N:     My mother’s parents was Evalina Benford from Tchula; Mississippi.,,1,,,,,
W:     And your dad’s parents?,,,,,,,
N:     My dad’s mother name was Belle Johnson from Cruger; Mississippi.,,,1,,,,
W:     Okay.,,,,,,,
W:     Do you know anything about your great-grandparents?,,,,,,,
W:     Your      grandparents’ parents?,,,,,,,
N:     No; I do not.,,,,,,,
W:     Okay.,,,,,,,
W:     I’d like to ask you about your earliest memories of school.,,,,,,,
W:          Where did you first go to school at?,,,,,,,
N:     I went to school at um um...,,,,,,,
N:     DeSalle um DeSalle...,,,,,,,
N:     Kindergarten.,,,,,,,
N:     That was my      first school; at the DeSalle Kindergarten.,,,,,,,
N:     It was held at a church.,,,,,,,
W:     What was the name of the church?,,,,,,,
N:     DeSalle United Methodist Church.,,,,,,,
W:     And is that here in Greenwood?,,,,,,,
N:     Yes; it is; in Greenwood; Mississippi.,,,,,,,
W:     Okay.,,,,,,,
W:     And how long did you go to school there?,,,,,,,
N:     I went there until the age of four; and then I attended Stone Street      Elementary School.,,,,,,,
W:     Did you have any favorite teachers or favorite subjects when you were      in school?,,,,,,,
N:     Oh; yes.,,,,,,,
N:     I had one of the most favoritest teachers that I wish she      was here today to teach.,,,,,,,
N:     She’s living—her name is Miss Viola Sisson.,,,,,,,
W:     And what subject did she teach?,,,,,,,
N:     Science and history.,,,,,,,
W:     Okay.,,,,,,,
W:     And why did you like Miss Sisson’s class so much?,,,,,,,
N:     I always liked Miss Sisson’s class.,,,,,,,
N:     I always thought she was real      hard; but as I grown up; I realized that the only thing she wanted us      to do was learn.,,,,,,,
N:     And she was always teaching us about history; black      history; and that’s what I loved about her.,,,,,,,
N:     I wish she could be      teaching right today.,,,,,,,
W:     Has she passed away?,,,,,,,
N:     No; she hasn’t.,,,,,,,
N:     She’s a member of New Zion Missionary Baptist Church      here in Greenwood; Mississippi.,,,,,,,
W:     Okay.,,,,,,,
W:     Right up here; at the light where we turned?,,,,,,,
W:     That Mount Zion?,,,,,,,
N:     New Zion; yes; sir.,,,,,,,
W:     New Zion,,,,,,,
N:     Right by the fire department.,,,,,,,
W:     Okay.,,,,,,,
W:     Do you remember who your elementary school principal was?,,,,,,,
N:     Mister Smith.,,,,,,,
N:     I don’t know his first name; forgot his—Wallace Smith.,,,,,,,
N:     Mister      Wallace Smith.,,,,,,,
N:     But he’s a very; very nice principal.,,,,,,,
N:     He only wanted us      to learn.,,,,,,,
W:     When you um left elementary school; where did you go to school next?,,,,,,,
N:      I went to Greenwood High.,,,,,,,
W:     Okay.,,,,,,,
W:     And what year did you start at Greenwood High?,,,,,,,
N:     1980.,,,,,,,
W:     And what year did you graduate?,,,,,,,
N:     I graduated in the class of 1985.,,,,,,,
W:     Okay.,,,,,,,
W:     So now that you’ve left high school; have you always stayed in      this community?,,,,,,,
W:     Or did you go somewhere after high school and then      come back?,,,,,,,
N:     No; I’ve always been here.,,,,,,,
N:     I’m forty-three years old and I love      Greenwood; and I love McLaurin Street.,,,,,,,
N:     I love McLaurin Street; because      this is a historical place that I teaches my children; on Children’s      Day; about McLaurin’s Park; that it was a historical park cause it      was the first black school for the for the black children.,,1,,,,,
W:     What is it that’s so exciting and historical about McLaurin Park;      McLaurin Street; and Greenwood that you love so much?,,,,,,,
N:     I just really love the people; because I’m a people person myself;      and I just love the people and I love the children; and I love the      idea that I know that I can teach the other children that McLaurin is      not just only a park; it is an historical park where there was once      McNiece School.,,,,,,,
W:     Did; what do you know about that McNiece School?,,,,,,,
N:     The only thing I know—I did not attend—but I know I remember that the      kids would always used to come over to my mom’s house.,,,,,,,
N:     They called it      her Baby Ruth; and they used to call to Miss Baby Ruth’s house; just      to get them one of those homemade biscuits from Missus Baby Ruth.,,,,,,,
W:     Was Missus Baby Ruth; was she a person that was a community leader?,,,,,,,
N:     Yes; she was.,,,,,,,
N:     Miss My mother; Missus Baby Ruth Johnson; she was a community      leader with all the kids:,,,,,,,
N:     with all the people.,,,,,,,
N:     She was a people      person.,,,,,,,
N:     She loved to talk.,,,,,,,
N:     And she always loved to ask; how you doing;      and you have a nice day.,,,,,,,
N:     And I believe that’s where I get it from;      because I’m so friendly.,,,,,,,
W:     Mm-hm.,,,,,,,
W:     Well; you very you definitely are.,,,,,,,
W:     You let me come over and interview.,,,,,,,
W:          What do you think the qualities of a leader—what makes a person a      leadership—a leader?,,,,,,,
N:     I believe what makes a person a leader is the communication and the      understanding from the people out in the community.,,,,,,,
N:     You have to get      out here to know the people; to know the children:,,,,,,,
N:     to see the children      and to see the people; and the elderly people; is what I love.,,,,,,,
N:     I love the      elderly people.,,,,,,,
N:     I have a neighbor.,,,,,,,
N:     She just had a birthday; turned      eighty-four years old September 10.,,,,,,,
N:     She lives two houses down from me.,,,,,,,
N:          She’s a sweet lady in the neighborhood.,,,,,,,
